MANDT,AUFPL,APLZL,PLNFL,PLNKN,PLNAL,PLNTY,VINTV,PLNNR,ZAEHL,VORNR,STEUS,ARBID,PDEST,WERKS,KTSCH,LTXA1,LTXA2,TXTSP,VPLTY
1,2067521,1,0,1,1,N,0,50338690,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2067521,2,0,2,1,N,0,50338690,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067521,3,0,3,1,N,0,50338690,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067521,4,0,4,1,N,0,50338690,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067521,5,0,5,1,N,0,50338690,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067521,6,0,6,1,N,0,50338690,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067521,7,0,7,1,N,0,50338690,7,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067521,8,0,8,1,N,0,50338690,8,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067521,9,0,9,1,N,0,50338690,9,90,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2067521,10,0,10,1,N,0,50338690,10,100,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067521,11,0,11,1,N,0,50338690,11,110,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,2067522,1,0,1,1,N,0,50338690,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2067522,2,0,2,1,N,0,50338690,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067522,3,0,3,1,N,0,50338690,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067522,4,0,4,1,N,0,50338690,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067522,5,0,5,1,N,0,50338690,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067522,6,0,6,1,N,0,50338690,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
